,Bill Date,State,County,Pandemic cases Cumulative
180,2021-06-30,New York,New York,28447
181,2021-07-01,New York,New York,28518
182,2021-07-02,New York,New York,28596
183,2021-07-03,New York,New York,28698
184,2021-07-04,New York,New York,28760
185,2021-07-05,New York,New York,28804
186,2021-07-06,New York,New York,28870
187,2021-07-07,New York,New York,28920
188,2021-07-08,New York,New York,28920
189,2021-07-09,New York,New York,29029
190,2021-07-10,New York,New York,29109
191,2021-07-11,New York,New York,29165
192,2021-07-12,New York,New York,29237
193,2021-07-13,New York,New York,29302
194,2021-07-14,New York,New York,29363
195,2021-07-15,New York,New York,29442
196,2021-07-16,New York,New York,29516
197,2021-07-17,New York,New York,29590
198,2021-07-18,New York,New York,29675
199,2021-07-19,New York,New York,29731
200,2021-07-20,New York,New York,29796
201,2021-07-21,New York,New York,29867
202,2021-07-22,New York,New York,29943
203,2021-07-23,New York,New York,30033
204,2021-07-24,New York,New York,30097
205,2021-07-25,New York,New York,30161
206,2021-07-26,New York,New York,30193
207,2021-07-27,New York,New York,30250
208,2021-07-28,New York,New York,30280
209,2021-07-29,New York,New York,30329
210,2021-07-30,New York,New York,30399
211,2021-07-31,New York,New York,30458
212,2021-08-01,New York,New York,30518
213,2021-08-02,New York,New York,30564
214,2021-08-03,New York,New York,30621
215,2021-08-04,New York,New York,30677
216,2021-08-05,New York,New York,30734
217,2021-08-06,New York,New York,30799
218,2021-08-07,New York,New York,30859
219,2021-08-08,New York,New York,30921
220,2021-08-09,New York,New York,30964
221,2021-08-10,New York,New York,31016
222,2021-08-11,New York,New York,31071
223,2021-08-12,New York,New York,31147
224,2021-08-13,New York,New York,31217
225,2021-08-14,New York,New York,31279
226,2021-08-15,New York,New York,31342
227,2021-08-16,New York,New York,31398
228,2021-08-17,New York,New York,31441
229,2021-08-18,New York,New York,31505
230,2021-08-19,New York,New York,31541
231,2021-08-20,New York,New York,31603
232,2021-08-21,New York,New York,31661
233,2021-08-22,New York,New York,31708
234,2021-08-23,New York,New York,31752
235,2021-08-24,New York,New York,31796
236,2021-08-25,New York,New York,31837
237,2021-08-26,New York,New York,31885
238,2021-08-27,New York,New York,31935
239,2021-08-28,New York,New York,31977
240,2021-08-29,New York,New York,32013
241,2021-08-30,New York,New York,32075
242,2021-08-31,New York,New York,32119
